input_time|conversation_id|count|intent|user_input| entity_name|entity_value|action|bot_reply|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U0|greet|/greet|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student living, school services, etc. How can I help you?,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B8|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U6|helpfulness_rating|helpfulness_3|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B9|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U7|goodbye|Bye|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B10|||||utter_ask_ratings|Could you give us some feedbacks regarding your experience? There will be 5 questions.,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U8|affirm|Yes|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B11|||||utter_answers_satisfaction|Are you satisfied with the answers to your questions?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U9|satisfy_rating|satisfy_3|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B12|||||utter_interaction|Are you satisfied with how the chatbot interacted with you?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U10|interaction_rating|interaction_2|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B13|||||utter_preference|To what extent will you prefer the chatbot over Google search for the answers?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U11|preference_rating|preference_2|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B14|||||utter_future_use|Will you choose the chatbot to find UofSC info for the future use?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U12|future_use_rating|future_use_3|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B15|||||utter_overall_rating|What’s your overall satisfaction of using the chatbot to find the school information?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U13|overall_rating|overall_2|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B16|||||utter_prefinish_1|Thanks, that's all for the feedbacks. The last part is regarding your demographic information.,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B17|||||utter_current_student|Are you currently a student studying less than 2 years at UofSC?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U14|answer_current_student|answer_current_student_1|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B18|||||utter_gender|What's your gender?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U15|answer_gender|gender_2|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B19|||||utter_age|What's your age?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U16|answer_age|age_2|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B20|||||utter_marriage|Are you married?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U17|answer_marriage|marriage_2|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B21|||||utter_education|What is your current completed education level?,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|U18|answer_education|education_3|,,,,,,
2022-08-10 09:04:17.675207|a6cc2ffec20949188698fd0a4c03befe|B22|||||utter_prefinish_2|Thanks for your participation and feedbacks. This is all about the experiment.【Conversation ended】,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U0|greet|/greet|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student living, school services, etc. How can I help you?,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U1|school_questions|When is the deadline to apply for Ph.D. for the spring semester?|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B1|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B2|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U2|helpfulness_rating|helpfulness_3|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B3|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U3|school_questions|Where can I find the courses that I would need to take as a Ph.D. student in computer science and enginreering?|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B4|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B5|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U4|helpfulness_rating|helpfulness_3|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B6|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U5|school_questions|When will be the spring break this year?|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B7|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B8|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U6|helpfulness_rating|helpfulness_3|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B9|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U7|school_questions|Is there some services to help me (a student) find a place to live in Columbia?|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B10|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B11|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U8|helpfulness_rating|helpfulness_3|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B12|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U9|school_questions|How many credits does a Master student needs to take per semester?|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B13|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B14|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U10|helpfulness_rating|helpfulness_3|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B15|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U11|goodbye|bye|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B16|||||utter_ask_ratings|Could you give us some feedbacks regarding your experience? There will be 5 questions.,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U12|affirm|Yes|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B17|||||utter_answers_satisfaction|Are you satisfied with the answers to your questions?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U13|satisfy_rating|satisfy_1|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B18|||||utter_interaction|Are you satisfied with how the chatbot interacted with you?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U14|interaction_rating|interaction_3|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B19|||||utter_preference|To what extent will you prefer the chatbot over Google search for the answers?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U15|preference_rating|preference_1|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B20|||||utter_future_use|Will you choose the chatbot to find UofSC info for the future use?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U16|future_use_rating|future_use_1|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B21|||||utter_overall_rating|What’s your overall satisfaction of using the chatbot to find the school information?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U17|overall_rating|overall_1|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B22|||||utter_prefinish_1|Thanks, that's all for the feedbacks. The last part is regarding your demographic information.,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B23|||||utter_current_student|Are you currently a student studying less than 2 years at UofSC?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U18|answer_current_student|answer_current_student_2|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B24|||||utter_gender|What's your gender?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U19|answer_gender|gender_2|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B25|||||utter_age|What's your age?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U20|answer_age|age_3|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B26|||||utter_marriage|Are you married?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U21|answer_marriage|marriage_2|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B27|||||utter_education|What is your current completed education level?,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|U22|answer_education|education_4|,,,,,,
2022-08-10 09:31:58.240015|dfdf82857230443c9827f6439d56882f|B28|||||utter_prefinish_2|Thanks for your participation and feedbacks. This is all about the experiment.【Conversation ended】,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U0|greet|/greet|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student living, school services, etc. How can I help you?,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U1|school_questions|I want to find temporary stay near campus|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B1|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B2|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U2|school_questions|Need apartment|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B3|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B4|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U3|school_questions|How to find apartment?|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B5|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B6|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U4|helpfulness_rating|helpfulness_3|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B7|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U5|school_questions|What’s the application fee ?|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B8|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B9|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U6|helpfulness_rating|helpfulness_3|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B10|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U7|goodbye|End|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B11|||||utter_ask_ratings|Could you give us some feedbacks regarding your experience? There will be 5 questions.,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U8|affirm|Yes|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B12|||||utter_answers_satisfaction|Are you satisfied with the answers to your questions?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U9|satisfy_rating|satisfy_1|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B13|||||utter_interaction|Are you satisfied with how the chatbot interacted with you?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U10|interaction_rating|interaction_1|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B14|||||utter_preference|To what extent will you prefer the chatbot over Google search for the answers?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U11|preference_rating|preference_4|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B15|||||utter_future_use|Will you choose the chatbot to find UofSC info for the future use?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U12|future_use_rating|future_use_1|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B16|||||utter_overall_rating|What’s your overall satisfaction of using the chatbot to find the school information?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U13|overall_rating|overall_1|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B17|||||utter_prefinish_1|Thanks, that's all for the feedbacks. The last part is regarding your demographic information.,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B18|||||utter_current_student|Are you currently a student studying less than 2 years at UofSC?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U14|answer_current_student|answer_current_student_1|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B19|||||utter_gender|What's your gender?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U15|answer_gender|gender_2|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B20|||||utter_age|What's your age?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U16|answer_age|age_3|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B21|||||utter_marriage|Are you married?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U17|answer_marriage|marriage_1|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B22|||||utter_education|What is your current completed education level?,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|U18|answer_education|education_2|,,,,,,
2022-08-11 11:56:57.786964|7cdb9d7b79c445138018218a8232c545|B23|||||utter_prefinish_2|Thanks for your participation and feedbacks. This is all about the experiment.【Conversation ended】,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U0|greet|/greet|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student living, school services, etc. How can I help you?,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U1|greet|Hi|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U2|school_questions|Can you tell me about shuttle services and timings please?|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B1|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B2|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U3|helpfulness_rating|helpfulness_2|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B3|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U4|school_questions|Can you please help me on how to find on-campus jobs?|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B4|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B5|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U5|helpfulness_rating|helpfulness_2|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B6|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U6|goodbye|Bye|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B7|||||utter_ask_ratings|Could you give us some feedbacks regarding your experience? There will be 5 questions.,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U7|affirm|Yes|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B8|||||utter_answers_satisfaction|Are you satisfied with the answers to your questions?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U8|satisfy_rating|satisfy_3|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B9|||||utter_interaction|Are you satisfied with how the chatbot interacted with you?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U9|interaction_rating|interaction_3|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B10|||||utter_preference|To what extent will you prefer the chatbot over Google search for the answers?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U10|preference_rating|preference_2|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B11|||||utter_future_use|Will you choose the chatbot to find UofSC info for the future use?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U11|future_use_rating|future_use_2|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B12|||||utter_overall_rating|What’s your overall satisfaction of using the chatbot to find the school information?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U12|overall_rating|overall_3|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B13|||||utter_prefinish_1|Thanks, that's all for the feedbacks. The last part is regarding your demographic information.,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B14|||||utter_current_student|Are you currently a student studying less than 2 years at UofSC?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U13|answer_current_student|answer_current_student_1|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B15|||||utter_gender|What's your gender?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U14|answer_gender|gender_1|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B16|||||utter_age|What's your age?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U15|answer_age|age_2|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B17|||||utter_marriage|Are you married?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U16|answer_marriage|marriage_2|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B18|||||utter_education|What is your current completed education level?,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|U17|answer_education|education_3|,,,,,,
2022-08-17 13:50:23.595979|69953b991dd349209a6be83c95ed0e76|B19|||||utter_prefinish_2|Thanks for your participation and feedbacks. This is all about the experiment.【Conversation ended】,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|U0|greet|/greet|,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student living, school services, etc. How can I help you?,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|U1|school_questions|Gow to apply?|,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B1|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B2|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|U2|helpfulness_rating|helpfulness_1|,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B3|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|U3|school_questions|How to find an apartment?|,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B4|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B5|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|U4|helpfulness_rating|helpfulness_2|,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B6|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|U5|school_questions|How to get the student card?|,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B7|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B8|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|U6|helpfulness_rating|helpfulness_1|,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B9|||||utter_carry_on|Thanks, carry on!,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|U7|goodbye|Bye|,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B10|||||utter_ask_ratings|Could you give us some feedbacks regarding your experience? There will be 5 questions.,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|U8|deny|No|,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B11|||||utter_ask_short_feedback|Sorry to hear that. Please just give us an overall feedback. What’s your overall satisfaction of using the chatbot to find the school information?,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|U9|short_feedback_rating|short_5|,,,,,,
2022-08-17 14:00:31.427343|0b4707d327a84933b77870cea0350164|B12|||||utter_prefinish_2|Thanks for your participation and feedbacks. This is all about the experiment.【Conversation ended】,,,,,,
2022-08-17 14:09:26.615695|5b74a54e9e774f05b20a70cce4bde703|U0|greet|/greet|,,,,,,
2022-08-17 14:09:26.615695|5b74a54e9e774f05b20a70cce4bde703|B0|||||utter_greet|Hey! Welcome to the website of University of South Carolina, Columbia. I can help you with some basic questions regarding application, locations, student living, school services, etc. How can I help you?,
2022-08-17 14:09:26.615695|5b74a54e9e774f05b20a70cce4bde703|U1|bot_challenge|how are you？|,,,,,,
2022-08-17 14:09:26.615695|5b74a54e9e774f05b20a70cce4bde703|B1|||||utter_iamabot|I am a bot, working for University of South Carolina, Columbia. I can help yo with some basic questions regarding application, locations, student living, school services, etc.
2022-08-17 14:09:26.615695|5b74a54e9e774f05b20a70cce4bde703|U2|school_questions|student living|,,,,,,
2022-08-17 14:09:26.615695|5b74a54e9e774f05b20a70cce4bde703|B2|||||utter_school_pdf|Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing,,,,,,
2022-08-17 14:09:26.615695|5b74a54e9e774f05b20a70cce4bde703|B3|||||utter_did_that_help|Was this helpful?,,,,,,
2022-08-17 14:09:26.615695|5b74a54e9e774f05b20a70cce4bde703|U3|helpfulness_rating|helpfulness_3|,,,,,,
2022-08-17 14:09:26.615695|5b74a54e9e774f05b20a70cce4bde703|B4|||||utter_carry_on|Thanks, carry on!,,,,,
